Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
TUMKUR,19,V. SOMANNA,BHARATIYA JANATA PARTY,S.P. MUDDAHANUMEGOWDA,INDIAN NATIONAL CONGRESS,175594,Result Declared
TURA,2,SALENG A SANGMA,INDIAN NATIONAL CONGRESS,AGATHA K SANGMA,NATIONAL PEOPLE'S PARTY,155241,Result Declared
UDAIPUR,19,MANNA LAL RAWAT,BHARATIYA JANATA PARTY,TARACHAND MEENA,INDIAN NATIONAL CONGRESS,261608,Result Declared
UDHAMPUR,4,DR JITENDRA SINGH,BHARATIYA JANATA PARTY,CH LAL SINGH,INDIAN NATIONAL CONGRESS,124373,Result Declared
UJJAIN,22,ANIL FIROJIYA,BHARATIYA JANATA PARTY,MAHESH PARMAR,INDIAN NATIONAL CONGRESS,375860,Result Declared
UDUPI CHIKMAGALUR,15,KOTA SRINIVAS POOJARY,BHARATIYA JANATA PARTY,K. JAYAPRAKASH HEGDE,INDIAN NATIONAL CONGRESS,259175,Result Declared
UJIARPUR,22,NITYANAND RAI,BHARATIYA JANATA PARTY,ALOK KUMAR MEHTA,RASHTRIYA JANATA DAL,60102,Result Declared
ULUBERIA,26,SAJDA AHMED,ALL INDIA TRINAMOOL CONGRESS,ARUNUDAY PAULCHOWDHURY,BHARATIYA JANATA PARTY,218673,Result Declared
UNNAO,33,SWAMI SACHCHIDANAND HARI SAKSHI,BHARATIYA JANATA PARTY,ANNU TANDON,SAMAJWADI PARTY,35818,Result Declared
UTTARA KANNADA,12,VISHWESHWAR HEGDE KAGERI,BHARATIYA JANATA PARTY,DR. ANJALI NIMBALKAR,INDIAN NATIONAL CONGRESS,337428,Result Declared
VELLORE,8,DM KATHIR ANAND,DRAVIDA MUNNETRA KAZHAGAM,AC SHANMUGAM,BHARATIYA JANATA PARTY,215702,Result Declared
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,BHARATIYA JANATA PARTY,PRATAPBHANU SHARMA,INDIAN NATIONAL CONGRESS,821408,Result Declared
VILUPPURAM,13,RAVIKUMAR. D,VIDUTHALAI CHIRUTHAIGAL KATCH,BHAGYARAJ. J,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,70703,Result Declared
VIRUDHUNAGAR,34,MANICKAM TAGORE B,INDIAN NATIONAL CONGRESS,VIJAYAPRABHAKARAN V,DESIYA MURPOKKU DRAVIDA KAZHAGAM,4379,Result Declared
VADAKARA,3,SHAFI PARAMBIL,INDIAN NATIONAL CONGRESS,K K SHAILAJA TEACHER,COMMUNIST PARTY OF INDIA (MARXIST),114506,Result Declared
VADODARA,20,DR. HEMANG JOSHI,BHARATIYA JANATA PARTY,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),INDIAN NATIONAL CONGRESS,582126,Result Declared
