ID,State,Constituency,Total Electors,Polled (%),Total Votes,Phase
164,MAHARASHTRA,YAVATMAL- WASHIM,1940916,62.87,1220189,2
165,MANIPUR,OUTER MANIPUR,484949,85.11,412737,2
166,RAJASTHAN,AJMER,1995699,59.66,1190561,2
167,RAJASTHAN,BANSWARA,2200438,73.88,1625731,2
168,RAJASTHAN,BARMER,2206237,75.93,1675276,2
169,RAJASTHAN,BHILWARA,2147159,60.37,1296228,2
170,RAJASTHAN,CHITTORGARH,2170167,68.61,1488898,2
171,RAJASTHAN,JALORE,2297328,62.89,1444866,2
172,RAJASTHAN,JHALAWAR-BARAN,2030525,69.71,1415420,2
173,RAJASTHAN,JODHPUR,2132713,64.27,1370616,2
174,RAJASTHAN,KOTA,2088023,71.26,1487879,2
175,RAJASTHAN,PALI,2343232,57.19,1339989,2
176,RAJASTHAN,RAJSAMAND,2060942,58.39,1203299,2
177,RAJASTHAN,TONK-SAWAI MADHOPUR,2148128,56.58,1215309,2
178,RAJASTHAN,UDAIPUR,2230971,66.66,1487268,2
179,TRIPURA,TRIPURA EAST,1396761,80.36,1122424,2
180,UTTAR PRADESH,ALIGARH,1997234,56.93,1137051,2
181,UTTAR PRADESH,AMROHA,1716641,64.58,1108579,2
182,UTTAR PRADESH,BAGHPAT,1653146,56.16,928392,2
183,UTTAR PRADESH,BULANDSHAHR,1859462,56.42,1049189,2
184,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,2675148,53.63,1434667,2
185,UTTAR PRADESH,GHAZIABAD,2945487,49.88,1469260,2
186,UTTAR PRADESH,MATHURA,1929550,49.41,953388,2
187,UTTAR PRADESH,MEERUT,2000530,58.94,1179121,2
188,WEST BENGAL,BALURGHAT,1561966,79.09,1235347,2
189,WEST BENGAL,DARJEELING,1765744,74.76,1320072,2
190,WEST BENGAL,RAIGANJ,1790245,76.18,1363854,2
191,ASSAM,BARPETA,1966847,85.24,1676633,3
192,ASSAM,DHUBRI,2660827,92.08,2450041,3
193,ASSAM,GUWAHATI,2036846,78.39,1596664,3
194,ASSAM,KOKRAJHAR,1484571,83.55,1240306,3
195,BIHAR,ARARIA,2018767,61.93,1250261,3
196,BIHAR,JHANJHARPUR,2003040,54.48,1091258,3
197,BIHAR,KHAGARIA,1840217,57.52,1058539,3
